date,hdd,import_gazu,import_ropy,zuzycie_energii,zuzycie_gazu,dostawy_prod_naft,dostawy_wegla,cena_akcji_orlen,cena_akcji_energa,cena_gazu,cena_ropy
2014-01-01,615.22,3735,2191,13249,2103,1670,6514,38.79,13.457,4.878,97.47
2014-02-01,424.49,3334,2166,11770,1721,1654,5730,43.7,14.711,4.612,102.67
2014-03-01,354.21,3679,2372,12407,1661,1885,5728,43.22,14.921,4.367,101.55
2014-04-01,227.4,3612,2476,11570,1363,1966,5196,45.3,15.088,4.798,99.7
2014-05-01,148.92,3637,2106,11543,1205,1925,5470,42.18,16.639,4.455,102.87
2014-06-01,70.39,3554,2218,11105,1089,1925,5333,41,18.215,4.442,105.53
2014-07-01,2.56,3499,2530,11975,1118,2084,6233,37,17.731,4.326,97.66
2014-08-01,34.02,3061,2420,11580,1111,2091,5549,39.43,18.366,4.084,95.81
2014-09-01,75.28,3285,2671,11730,1129,2002,6931,41.25,21.14,4.127,91.31
2014-10-01,229.58,3475,2639,12717,1536,2153,7082,41.93,22.047,3.866,80.63
2014-11-01,379.97,3370,2152,12502,1768,2000,6908,45.17,20.682,4.067,66.06
2014-12-01,532.6,3501,2716,13276,2087,1874,6553,48.92,20.286,2.916,53.73
2015-01-01,519.4,3339,2123,13297,2004,1794,5677,54.85,18.497,2.672,47.73
2015-02-01,475.23,2992,2059,12130,1867,1784,5002,54.61,19.818,2.711,49.44
2015-03-01,397.4,3695,2819,12879,1815,1910,5901,59.25,21.933,2.642,47.48
2015-04-01,290.41,3515,2255,11829,1581,1967,6124,68.48,22.029,2.731,59.77
2015-05-01,161.97,3615,2935,11832,1265,2023,6074,70.65,21.425,2.643,60.29
2015-06-01,56.67,3361,2816,11504,1077,2064,6444,73.83,21.257,2.822,59.1
2015-07-01,12.39,3136,2752,12105,1080,2078,5441,76.14,19.041,2.712,46.6
2015-08-01,4.14,3287,2794,11968,1049,2132,5937,73.83,18.275,2.686,48.16
2015-09-01,92.8,3318,2809,11959,1144,2143,6309,66.2,15.76,2.622,45.33
2015-10-01,315.45,3731,2752,13002,1644,2108,7028,62.77,15.424,2.304,46.4
2015-11-01,369.85,3276,2542,12779,1749,1934,7153,67.93,12.76,2.23,41.69
2015-12-01,416.85,3354,3076,12945,1921,1968,6977,67.85,11.815,2.351,37.06
2016-01-01,645.87,3784,2372,13574,2285,1889,6151,62.25,12.638,2.306,33.76
2016-02-01,422.9,3677,2342,12557,1850,1857,6119,63.92,11.862,1.705,33.8
2016-03-01,432.31,3595,2304,13058,1899,2157,5507,73.9,12.255,1.964,38.15
2016-04-01,270.94,3604,2652,12101,1536,2063,6569,68.75,11.628,2.141,46.02
2016-05-01,100.74,3678,2632,11857,1272,2090,5051,69.18,9.2074,2.29,46.66
2016-06-01,26.41,3585,2417,11995,1058,2236,5245,69.05,8.8803,2.936,46.37
2016-07-01,4.29,3644,3033,12134,1093,2207,5441,62.45,9.6,2.858,41.45
2016-08-01,19.84,3440,2880,12170,1159,2572,5308,65,7.9834,2.861,44.83
2016-09-01,73.9,3612,3042,12225,1182,2385,8367,65.01,7.392,2.903,48.04
2016-10-01,317.67,3799,2893,13082,1650,2371,6305,77.8,7.9243,2.964,46.96
2016-11-01,443.15,3733,2524,13163,1923,2384,6506,76.45,7.8356,3.346,49.01
2016-12-01,527.99,3850,2770,13833,2201,2229,6682,85.3,8.969,3.742,53.9
2017-01-01,673.55,3921,2857,12933.792,2512,2097,5810.524,81.18,10.063,3.134,52.79
2017-02-01,508.61,3619,2408,12243.193,2075,2040,5547.361,94.2,10.763,2.768,53.99
